__run_id,__done,llm,algorithm,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,total_memory,used_memory,total_swap,used_swap,dram_energy,package_energy,pp0_energy,pp1_energy,run_time
run_2_repetition_1,DONE,ChatGPT,SWA,2400.0,2400.0,400.0,2400.0,1.17,23.62,0.28,75.23,25127043072.0,1945231206.4,4294963200.0,0.0,64654130.758,54318868.241,7838434.578,241.919,14.755978107452393
run_3_repetition_1,DONE,Claude,BB,2399.0,2122.0,2400.0,2399.0,67.28,0.8,32.12,0.15,25127043072.0,1242977870.57,4294963200.0,0.0,89533808.354,75318603.797,10919265.167,335.134,20.35938811302185
run_4_repetition_1,DONE,Claude,BFA,2400.0,2400.0,1384.0,2400.0,9.68,9.68,10.0,9.68,25127043072.0,756932608.0,4294963200.0,0.0,269420.171,226819.928,32972.893,1.009,0.3487558364868164
run_5_repetition_1,DONE,Claude,SWA,400.0,400.0,2400.0,2400.0,0.83,79.59,0.8,18.96,25127043072.0,1880353021.99,4294963200.0,0.0,57208533.49,48186090.933,7016087.751,214.148,13.122488498687744
run_6_repetition_1,DONE,Gemeni,BB,2400.0,2339.0,400.0,2399.0,6.67,9.68,10.0,6.67,25127043072.0,758327978.67,4294963200.0,0.0,269435.925,227054.017,33114.686,1.009,0.3507969379425049
run_7_repetition_1,DONE,Gemeni,BFA,2114.0,1500.0,400.0,2257.0,10.0,6.67,12.5,6.67,25127043072.0,764272640.0,4294963200.0,0.0,269437.134,227062.469,33115.479,1.009,0.3517646789550781
run_8_repetition_1,DONE,Gemeni,SWA,1513.0,2400.0,2400.0,2400.0,24.59,1.03,73.82,0.33,25127043072.0,1196079624.51,4294963200.0,0.0,37811741.758,31875506.905,4653664.588,141.532,8.750110387802124
run_9_repetition_1,DONE,Llama,BB,2400.0,1374.0,2400.0,2400.0,9.68,6.45,9.68,6.67,25127043072.0,773083136.0,4294963200.0,0.0,269447.349,227221.147,33208.48,1.009,0.35306501388549805
run_10_repetition_1,DONE,Llama,BFA,2400.0,400.0,900.0,2399.0,1.35,86.43,0.25,12.92,25127043072.0,2867329860.04,4294963200.0,0.0,89550845.496,75571484.022,11071454.339,335.173,20.367993116378784
run_11_repetition_1,DONE,Llama,SWA,2400.0,1733.0,1794.0,2400.0,97.28,1.04,0.23,0.28,25127043072.0,1191377041.9,4294963200.0,0.0,34043932.652,28758060.971,4227382.95,127.459,7.930628776550293
run_12_repetition_1,DONE,Mistral,BB,2399.0,2400.0,2399.0,400.0,6.06,11.76,6.06,6.06,25127043072.0,773332992.0,4294963200.0,0.0,269481.926,227709.947,33505.147,1.009,0.3770260810852051
run_13_repetition_1,DONE,Mistral,BFA,2400.0,2400.0,2400.0,1544.0,1.66,1.02,1.28,0.3,25127043072.0,763397388.39,4294963200.0,0.0,89111942.813,75317991.146,11080206.11,333.613,20.345202207565308
run_14_repetition_1,DONE,Mistral,SWA,2400.0,400.0,400.0,2400.0,1.07,5.03,1.46,91.13,25127043072.0,1181088686.73,4294963200.0,0.0,16978727.921,14356041.079,2112534.349,63.561,4.111630439758301
