10000 100000
4642 9310 4
4741 8536 9
9975 9732 9
3222 4302 4
4934 1739 4
4669 2875 7
2147 5836 8
5404 5304 1
4312 5959 3
4261 526 9
4607 5412 6
4067 9277 4
8651 9648 6
5869 2502 6
8365 450 4
649 7728 8
9301 3263 2
8245 8607 3
1562 9890 9
4505 7565 2
3938 4082 6
7201 6201 1
8528 4439 8
1431 77 10
8219 7138 6
3162 8975 5
9013 8318 6
4477 4392 10
5233 9731 10
8306 7762 5
9361 5695 1
6426 1511 5
7999 3191 4
3849 1906 2
7307 2615 3
4594 9987 8
2267 1783 1
3016 2196 10
3719 6755 3
455 7785 5
9666 3014 8
2753 8196 7
9901 1026 2
428 944 7
2554 4389 6
5072 9312 4
8360 1460 6
4508 7557 4
3557 7642 2
2066 9070 1
6629 2120 10
7387 8371 5
9462 1994 4
6883 5043 2
4979 5492 8
9291 9974 10
3802 251 9
4106 6720 1
9690 599 8
5102 9698 1
4706 642 9
2397 8370 1
8281 8968 5
9844 6652 3
8295 1828 3
1906 4768 3
8917 8460 8
7128 5916 8
3624 3223 8
4607 8637 8
7513 9607 7
2084 1301 4
2729 9027 6
2616 3450 3
8971 6721 10
8041 4407 8
9585 746 4
8062 9151 1
5962 2811 5
2903 8071 9
1818 5819 1
4937 2711 6
634 9440 5
6374 21 3
7335 6816 9
833 4220 7
9669 8595 6
7671 456 10
5651 5956 9
2367 7747 10
4377 6585 8
1607 2938 5
8663 9774 8
5034 8147 3
7410 2200 9
8353 2101 6
7745 7817 2
343 3554 9
1798 6406 5
4554 5643 5
279 4025 7
2048 8501 2
4176 2542 2
9248 3693 5
1907 671 7
4303 9313 1
3075 5598 1
3623 8360 1
2329 3859 2
6196 5284 2
7310 3459 5
6086 76 5
7912 5939 3
3080 3540 5
34 9447 3
8816 6953 9
2556 4149 7
3729 9454 6
9998 7350 6
1607 328 9
106 3249 5
9942 7891 9
4845 6355 4
155 561 10
5673 8544 1
9701 8640 3
4235 6625 1
6640 2067 5
5065 7017 9
4273 3340 3
8049 2976 3
8646 2193 4
219 9573 2
804 7950 8
4952 4155 8
7281 6826 2
725 759 1
6645 8816 9
4864 8900 2
9197 4742 5
1036 5605 6
3686 8114 9
7691 1504 7
1431 7640 5
6229 9373 1
6503 6214 8
9745 808 7
4509 3234 8
5940 2540 1
9031 92 1
4639 9616 7
906 2726 4
1088 3292 8
8176 3704 10
9649 7254 1
4971 6526 5
3738 7689 1
9051 7637 5
7613 6551 6
9197 5471 6
9937 5167 3
583 123 4
3819 4778 8
2277 5283 6
9766 7488 1
6971 7564 9
456 3330 1
5178 6925 9
7276 6962 2
7515 412 10
7001 3240 9
9306 8577 2
5333 2538 5
1408 6827 4
4187 5607 6
8384 5978 6
7395 3697 10
1232 1223 8
8452 2979 2
3868 8658 8
4165 6745 5
2635 485 4
5132 1368 1
8678 6610 3
3353 2150 3
1647 9118 6
7892 1218 7
1345 6614 6
7267 6264 7
4316 2125 10
6102 6672 6
235 6541 3
8884 1509 6
2096 607 7
1337 7867 1
9523 9470 7
9124 5628 8
9167 3863 3
1104 393 3
3267 2255 9
1756 9450 6
8405 3631 1
9203 7329 1
6001 2774 9
3607 7417 6
8852 8458 2
5589 4166 3
2718 7956 3
6928 6130 6
4497 7174 1
4089 8631 4
6736 4878 7
5931 2298 6
7514 893 6
9779 1895 5
6776 5419 10
6360 2527 5
6483 591 5
3281 704 9
492 8784 1
2010 2845 10
7005 6914 10
9070 1360 8
9634 2574 4
5373 8420 9
5471 6376 8
9613 2199 8
5325 9713 3
5940 6552 9
1631 7170 5
2604 2708 6
3403 3833 1
529 9423 2
6671 386 9
3062 2741 1
5797 8464 8
7960 6991 8
8009 1821 8
7073 3274 7
4604 196 2
7037 6230 6
2611 7950 8
5410 3254 9
4515 6540 1
9894 9884 9
2381 5473 8
8944 4793 5
6807 938 9
7505 2275 6
8815 6930 10
3810 5783 1
5500 4322 9
2670 1367 8
8984 8108 4
7862 6413 3
3561 9760 6
2018 289 4
5445 3323 1
543 5139 7
7944 1565 10
971 9496 2
6073 1555 3
6261 4952 7
3508 9912 9
9473 7360 4
8877 6078 3
2660 4959 9
4371 8010 1
6681 6411 7
739 2802 4
854 754 9
3015 7228 1
2073 8864 1
262 3214 9
2769 2563 8
6295 81 8
4514 8051 7
1734 6026 10
7593 7800 8
3767 1861 2
4372 8026 6
2459 4564 1
9969 6235 7
1774 8414 2
2289 3889 8
6250 6074 9
3395 7401 2
3708 8794 7
3020 5870 6
6071 5044 10
5135 2067 2
9459 2565 8
4411 5550 2
7025 4593 7
73 1184 10
7962 9537 6
6026 4871 7
6899 9948 9
8157 4538 2
917 3328 8
5391 2447 9
1326 6381 2
4129 6132 5
7102 2159 4
4254 7626 6
8634 3305 6
3434 3550 4
5868 299 4
704 7740 6
48 2185 9
5085 1045 5
9989 5644 7
9095 9569 10
6974 6107 5
68 1028 10
3623 6181 4
1982 9908 8
924 3657 4
7232 2032 10
6049 9923 6
8681 8685 1
3899 3172 9
5628 4712 1
8986 4179 3
7855 4746 8
9278 3899 5
9052 9791 9
9631 5256 2
5635 3153 10
5817 3794 9
8320 4956 9
7338 6302 2
8924 8744 2
8302 6979 5
8260 8382 8
8232 3238 5
9774 2733 7
5011 3464 3
4833 6519 7
7475 2429 6
3879 3461 3
6105 6573 3
3811 5353 2
134 8265 6
171 6555 2
7386 6395 9
812 1640 4
7016 7724 3
5638 6267 7
5490 7619 1
5004 3644 9
3100 100 9
1011 1746 2
9734 147 9
6675 7465 4
2492 2477 8
3812 8593 3
750 6601 3
5510 7436 2
4440 3939 4
6301 2873 5
9171 3769 1
1945 1672 8
9445 9055 2
9874 3142 8
7789 5086 7
2903 6495 8
8129 5155 6
230 8301 6
3082 1372 2
223 6446 5
9048 8399 8
5961 2193 10
8693 8887 8
9671 5029 4
8824 4719 1
2160 8372 6
9218 2734 9
7781 8973 4
8460 4455 6
3920 5453 2
5534 4893 2
8272 8799 4
4027 9687 4
7734 3057 8
8248 101 9
2741 4802 5
7844 899 8
8053 182 7
1610 88 9
8878 8523 1
4621 8489 4
2675 223 4
8029 9748 5
8415 6655 5
2124 244 1
1975 9308 9
3863 4831 10
6844 7379 2
2240 4396 8
8725 9678 1
899 9096 2
9198 8695 10
659 2436 2
248 3523 10
7643 2457 5
9347 2755 10
4221 342 3
8548 3505 9
5228 5741 10
6582 1839 8
682 5721 1
3603 4032 7
3999 9790 3
3927 4379 2
3964 4609 4
4283 4840 3
9870 830 7
5542 4574 9
341 7111 6
5657 504 6
681 7308 5
1905 6268 5
8309 7573 2
1044 6081 6
7580 275 10
9566 6127 6
2524 3724 1
9126 7562 2
3243 4801 8
8 9685 3
4029 8322 4
7628 729 4
5756 4836 8
5714 1384 10
9233 8759 8
9108 6374 1
9788 6407 1
3948 5441 9
6225 4650 3
3174 7335 5
3365 5680 4
1184 2951 2
6558 8959 1
6972 758 6
6769 2831 7
3464 1568 1
1780 1669 2
7480 5486 5
8784 736 1
7490 6312 10
941 282 5
9802 8120 3
4942 8055 4
1563 7421 6
4256 5961 9
1874 850 6
6627 3540 1
2856 3490 6
98 5113 5
5143 7564 3
3900 6106 3
5604 6800 8
490 4401 2
2771 306 5
7801 2736 2
3776 4595 2
3938 4202 9
460 2687 4
8390 8008 1
2013 9055 1
2166 5430 6
8629 2117 9
7985 1115 9
230 3520 10
2816 4378 5
2829 1826 9
5050 4956 4
2992 9026 10
9484 574 1
170 7010 5
6685 6489 10
5450 7007 2
4812 1761 7
3480 9748 6
7814 4124 4
655 7753 1
1594 9461 8
6319 335 2
2942 4781 6
9264 5311 9
9942 3434 3
8232 4934 9
6933 8348 2
4475 6876 9
8667 7096 3
2382 3230 6
4646 8004 8
8702 2486 8
4600 3812 3
8109 3869 7
1997 541 2
5651 9478 8
3464 2852 8
416 7252 7
7983 4295 2
6567 3850 5
2027 5285 2
9895 5642 7
1368 9916 9
3341 8524 5
110 2797 6
7377 1890 5
4428 2831 10
2186 5294 8
7247 9950 3
3645 6293 2
1159 3483 7
8922 4342 4
2912 3972 10
911 4829 2
4788 9208 10
2695 8464 3
228 2482 10
89 7738 2
2755 4351 2
1979 5374 4
9795 492 5
1903 8530 2
6830 4122 7
134 2339 2
7469 9805 7
1403 7265 5
5149 6608 4
5307 3191 4
4908 7381 9
7478 5602 6
3307 3040 1
5542 6070 6
6305 8276 6
6044 6231 8
1821 7334 8
7095 5650 9
1213 3948 10
5358 2552 6
6411 3833 4
6081 1689 3
4028 9615 2
8618 636 4
8564 6501 5
9284 9074 8
7111 9504 7
7693 8736 8
9090 3069 1
5114 8253 4
2986 7090 9
9386 3162 4
248 3563 3
7079 6184 4
4070 4618 1
5518 4349 5
8753 4960 7
9054 3251 4
9435 1174 10
3760 1216 6
910 2367 1
4055 348 4
2839 6996 4
8620 3367 10
5947 4182 4
9343 2264 2
9377 3594 4
5228 8567 9
7867 3322 2
2020 2995 1
8544 6861 3
4789 9919 1
5628 4418 9
6059 3927 3
1203 9568 8
9746 6497 1
1711 5834 9
3209 8296 5
4328 2192 7
3047 8170 8
4497 8813 7
7482 6286 3
9951 9265 2
2289 1895 2
2814 5037 2
1991 3168 5
3454 4314 10
6176 9180 1
4704 7522 6
3093 9868 7
6977 739 3
2517 5197 4
8635 3208 3
5022 8402 10
2136 9047 5
7988 5550 10
9223 4192 4
9503 3823 10
9947 6269 6
126 6474 10
3343 6812 1
9704 377 2
6895 2371 5
4682 378 2
7189 5497 5
1379 266 7
7750 1149 2
7106 9012 7
3936 5143 2
865 5687 7
584 865 7
9545 5090 3
5235 5832 4
2963 3988 3
8394 9133 9
9957 8512 3
2416 6831 1
3553 3209 9
8925 3042 5
6410 6501 6
2489 3883 8
68 345 10
9060 9010 9
6723 2066 2
1802 1471 7
9896 4352 8
8851 1434 6
1120 8802 5
8691 6655 2
826 3298 9
1828 3027 9
9039 6567 7
8873 2349 7
6701 4048 3
2228 7777 8
1315 5930 7
4153 2114 5
970 6783 8
8051 5065 2
9296 6951 9
4149 5359 2
7052 5222 9
9505 6193 7
9637 2432 2
4371 791 9
5977 4629 7
7563 8925 3
4521 9710 5
902 3645 8
5755 631 5
406 6158 3
3060 7379 5
1322 5484 7
9965 70 10
2057 2861 4
1396 4004 5
9671 7014 5
8151 7531 8
9551 4215 3
5299 8673 4
6562 2808 1
1047 3399 5
1354 3337 4
9319 348 6
106 1234 8
8245 5418 7
1889 6444 3
5730 7361 7
4120 4811 10
4558 5139 9
3893 4404 6
4243 176 9
7365 2291 2
3800 7804 3
9274 7116 3
9374 5344 1
5208 9850 5
4865 1796 2
6477 2805 3
2987 2507 5
3755 8331 1
8042 2870 2
5218 8841 1
6985 7533 2
2140 1405 2
1289 57 9
5321 4268 9
8442 2509 10
4172 8075 4
1704 4775 4
8270 3794 8
4029 6239 7
1236 2797 3
1267 5023 1
2954 4854 5
3110 8666 3
2409 2682 10
960 8436 9
7448 8941 10
4972 6718 4
2280 2243 4
5090 6886 4
9674 7257 6
1143 8651 2
6035 8335 1
97 5461 5
2982 1250 10
8670 6633 1
2766 3224 1
9538 8051 6
2047 7650 7
7207 7184 8
7933 9119 5
8987 7438 6
1315 5326 3
1493 4686 5
5357 3504 10
7648 2531 6
2965 7118 7
7872 2510 10
9086 8815 1
1562 4955 4
7611 7465 6
472 9761 3
9557 7694 2
2850 134 3
9072 4190 9
9096 7246 6
9155 844 1
9342 593 3
3101 8907 4
4807 1573 4
1241 1586 4
2690 6421 9
5689 1539 9
3705 7468 10
331 5160 6
8089 5408 1
222 8331 3
299 5687 5
4012 3309 6
7081 7220 3
5462 6966 6
5011 9190 3
5822 6967 7
3605 2433 9
8348 4251 7
549 6949 1
6585 274 8
2356 9055 7
9604 8122 9
2298 4774 6
7757 5009 2
1 9747 3
2127 7969 6
6863 8538 5
5521 9282 5
5608 1065 10
7888 8750 9
80 2234 10
9689 6265 7
3687 5371 3
2781 350 1
5932 5556 1
2304 9661 5
1014 3669 10
4940 4682 8
4185 2588 3
5953 5831 2
1787 1479 8
2896 4724 3
2935 9754 3
9166 2567 2
1510 254 5
6449 5271 6
8520 4605 6
3989 7771 3
5139 2132 6
2845 8978 3
7670 4503 8
8701 5726 9
7374 9743 8
4249 3529 3
5645 2416 8
9765 6730 2
4071 5347 10
8166 6280 7
1835 6614 8
2320 9834 6
3593 3179 9
4454 7731 3
9632 5720 10
7878 8380 4
3973 8207 8
6753 2166 7
247 6283 8
9199 4493 1
9499 2116 3
2433 7642 5
6799 134 3
2435 5442 9
4240 5168 3
1738 2163 2
4826 6859 10
5057 4935 4
8622 5110 5
6279 8705 5
9287 2913 9
3489 6274 6
2558 1070 8
1880 2183 9
4073 4832 6
1343 8189 7
7874 8963 10
2872 2636 2
2932 8424 2
6380 4275 7
6172 7199 4
1857 5699 3
1868 2374 3
4263 7142 5
7329 9379 6
6828 1815 1
6031 8048 9
1820 2946 1
4997 6397 8
305 1334 4
7187 414 5
7251 9187 8
65 7525 2
4697 8053 10
4988 7640 8
5890 4688 6
7579 5827 5
9034 5043 10
3197 3886 3
2657 6 8
6872 878 7
5538 2281 10
2666 8637 7
5223 710 5
2763 802 3
9669 5241 2
4071 6433 2
4924 2766 2
1114 1178 10
39 3318 3
7191 427 6
1121 6804 2
5890 5417 7
8297 2167 6
8706 1584 9
3036 1171 9
723 8567 1
6629 9806 7
6114 3893 6
6477 3062 7
5113 2927 7
8923 3893 9
941 8864 6
1506 8100 1
6010 7705 8
1137 7150 9
584 5460 4
968 9958 8
7635 8977 10
7486 4344 7
1659 9767 8
7382 7625 9
1629 7854 6
6444 7845 8
6707 1787 6
735 9006 2
4249 4581 10
2659 9935 7
452 8605 10
9954 6229 1
783 6307 4
6933 5011 3
5940 6074 10
9013 270 2
306 9564 9
1396 3925 9
5332 76 10
6689 7255 8
6898 6666 7
2542 1986 3
1074 5528 5
5395 4636 10
7812 9066 9
3176 7290 9
118 2473 9
4513 5411 7
6026 8068 5
3664 3285 4
3342 9714 7
7797 8946 2
7880 1696 3
5889 5857 2
9713 7427 6
6022 4822 2
6470 1354 2
381 2313 4
9706 5572 5
5453 328 5
1925 6508 9
4018 3843 4
6493 362 6
4598 7885 6
7814 864 9
6070 8190 2
2548 8430 7
8985 8934 5
7088 6913 2
2656 7971 6
1047 4317 10
5456 115 6
5741 8935 8
5995 2959 1
4738 3980 6
6450 7629 8
8657 8039 5
638 4714 2
4541 3183 3
8307 4004 8
4637 8165 5
4878 5500 8
9826 7777 1
3999 5967 5
4293 5182 7
2931 6396 3
1705 6291 10
2260 3939 3
2016 2436 1
9363 9232 7
8059 6382 8
5031 4928 10
2158 3376 8
2286 5058 4
1701 3523 9
5168 2011 5
3551 7541 2
4024 6429 2
277 24 9
4794 6318 5
787 7062 5
4603 9238 8
6296 4934 6
9769 9271 5
9608 1042 4
3318 2416 9
6207 4698 8
8480 1284 5
5581 3381 4
3903 3905 6
2360 8998 10
4612 9803 9
3589 4886 2
7255 5368 4
2740 2072 8
3741 3301 7
5762 8237 4
5484 714 9
6698 6219 4
6045 5265 5
1025 3066 9
6602 713 2
8306 3726 9
669 933 2
3488 2649 7
6161 6841 1
8209 7341 1
6977 6492 2
982 3846 2
6828 363 7
2510 3243 9
2406 9636 2
942 8131 3
139 140 9
6733 1954 4
6885 3184 6
4711 3213 1
8897 8401 2
9741 9315 10
7778 3269 6
900 845 2
3804 8969 4
4286 6394 5
8487 3817 2
6465 763 2
848 1171 10
5062 5645 2
2548 9825 3
3065 9785 7
9839 9662 4
5979 7581 9
7349 8361 9
4627 3764 7
5641 527 1
3702 2020 6
4083 5903 5
7054 581 8
5697 5850 1
3481 3802 3
7804 1807 2
7042 475 8
3320 7386 7
5318 6498 4
4749 5384 5
6594 6658 10
859 9852 6
6855 9403 9
4332 4766 6
5759 9788 10
6074 939 5
9725 6733 9
7552 4075 1
42 1174 5
6303 8488 4
7012 2788 7
4639 3521 8
2314 8619 9
3204 2572 6
9796 3281 1
3833 575 6
3601 6172 9
4493 3688 7
8483 6784 4
7671 5599 3
5882 5667 5
7841 2441 9
3858 9936 2
7896 1498 6
3645 8409 2
9222 9133 3
415 5909 5
8284 9989 7
8352 3184 2
978 8127 5
535 3819 4
1545 6236 10
9938 638 1
6338 3518 9
2054 2902 6
6804 1512 9
3377 8751 2
3657 7986 8
1615 7185 8
462 7740 8
9025 1198 10
8358 7180 9
7520 4311 6
3487 5655 4
8846 9172 7
4525 4212 9
247 9270 8
7915 3572 9
274 5900 9
8967 6824 1
5810 2414 10
4520 9732 1
9444 6028 6
5802 5723 7
1387 8348 4
7468 6013 5
1901 9390 2
6070 9886 6
7896 6809 4
1230 7207 1
7780 2797 7
8568 4749 2
6097 6225 5
7805 9105 6
416 9242 2
4869 7521 1
7627 375 10
3414 8948 8
8877 109 9
1629 6013 4
8382 5581 6
8438 6753 3
8351 2394 7
7830 8792 7
752 3122 8
8287 4094 6
6871 6663 10
1609 3611 7
3355 7361 10
5854 5438 9
1546 9704 7
20 1539 6
1321 2866 4
4455 6818 3
249 9484 5
3729 8194 1
1241 666 10
9204 2329 10
9415 6918 1
1448 9387 2
631 4147 4
794 5222 2
3450 8509 5
8399 8986 3
8459 5834 3
7506 6861 2
5117 9277 9
4527 2847 9
7476 159 3
2443 5740 9
1398 2426 7
7930 698 9
7865 9515 5
7850 794 9
9052 1432 9
7695 2983 9
2269 6830 3
3292 5890 7
2723 4373 1
9869 7010 2
2054 8855 9
1002 9111 8
9958 778 8
1945 3919 7
1418 5692 5
6971 3634 8
1265 3700 2
3893 2124 8
1922 2884 1
3022 1747 9
7103 8026 6
2139 6737 7
2580 551 3
4948 1689 4
420 7998 3
6259 6220 3
288 8349 7
7906 7818 2
7386 5916 2
9041 2526 9
7914 1245 3
9126 5408 9
6983 7622 1
8629 9041 4
6140 3047 6
8658 1053 1
5096 5862 2
413 5356 5
2215 7084 6
2857 1981 7
528 7253 2
3693 2154 4
9270 7470 6
9971 7947 8
650 9847 3
9187 6200 2
2638 4559 3
8823 9346 8
192 3007 5
4946 842 3
2009 1113 9
750 6076 1
3593 2283 5
1267 2697 8
4512 5090 6
1609 4605 9
4618 8450 2
5090 7899 8
9404 2437 10
9862 2132 10
576 3425 7
2102 1316 4
3384 7027 3
27 4523 9
6892 163 9
7448 700 9
5973 3423 6
4845 6002 2
7125 2031 10
8820 7101 1
8957 9575 4
7792 1084 4
1268 6712 5
4111 5721 10
306 1795 5
3621 2310 7
7616 8361 9
7186 2357 8
7301 7227 5
8441 8869 2
1492 8562 6
1189 2348 5
3741 7896 4
2454 4353 1
9148 2257 10
4416 3874 7
2554 3782 5
6866 2139 4
6025 8302 10
7581 9160 9
5530 8045 4
991 8652 4
6968 2714 9
2700 1092 6
9364 2697 9
2156 5808 4
1380 8981 7
8662 4914 10
3360 3978 1
2453 9000 9
7621 6396 9
4414 2693 2
6022 3173 7
1153 6074 6
8170 3266 2
9466 3585 9
4743 6391 2
2926 3570 7
6675 5660 8
9602 3042 5
3041 4634 3
1113 3756 2
3894 1363 3
2424 3631 4
1853 9618 3
5649 555 6
6116 1794 1
120 5635 6
5334 4375 9
5942 7237 7
4582 4463 5
8229 5058 1
1724 6801 1
8974 7975 5
9154 181 4
5010 4180 4
2682 5623 7
7279 2881 3
7907 1113 5
3857 1862 2
932 5358 6
4295 2627 2
8935 662 10
5586 5454 5
7295 6001 6
6747 3781 10
3334 3880 1
6666 8028 9
6812 8240 6
7069 6461 1
7280 7542 1
3654 3352 9
7340 9257 9
6932 858 3
6983 3442 6
67 8528 9
2028 4437 4
1512 5554 1
2787 173 5
1411 8964 4
8021 4411 1
7065 9381 2
7841 9035 6
8021 9744 4
2056 7226 6
3110 5982 8
8930 9784 5
387 5728 7
6878 511 5
7475 7794 4
9943 4049 1
5871 713 1
1541 9233 10
4356 2115 5
1745 2409 1
488 2527 10
6300 133 10
2798 2624 1
5259 4110 1
6412 7985 8
7391 5600 5
2430 8112 8
4281 3405 7
6101 6000 4
2507 5731 10
4453 8606 2
6387 2703 1
5587 6392 2
5862 6041 3
2685 7922 10
5105 261 7
2599 1948 8
3926 4964 8
1417 2285 6
8859 4653 4
7642 2956 4
117 6959 6
8152 3076 8
1172 1086 1
3229 7089 8
7813 3292 3
6007 8977 6
8401 7487 1
1321 5957 4
5698 7433 2
5854 5697 8
885 8931 6
4417 3037 4
839 6009 3
8606 412 6
8011 487 10
3054 4643 5
2763 6542 8
3227 460 6
1865 2029 1
1616 3161 6
7427 5378 7
4696 3310 2
2426 3410 1
3141 2131 2
39 7059 8
8000 8077 4
5376 9427 4
124 721 4
328 5809 6
9289 7020 1
5274 3176 7
4463 4806 7
2269 4629 1
501 7710 9
4068 335 7
8429 8231 8
823 5880 7
8707 9345 5
3972 6443 6
9020 2614 7
5747 5988 4
5475 7849 8
1795 1185 9
5289 8612 6
8565 6983 9
5677 7655 2
2117 4647 9
3278 2432 10
7481 1129 8
2952 4186 5
4501 548 7
791 1657 5
1284 2885 6
9544 3900 5
4170 9506 7
657 6302 6
5278 812 1
2061 78 10
480 9732 5
8739 7024 7
7625 2795 5
2592 6517 5
5279 3643 3
1956 3057 7
7467 28 8
6073 5260 4
3316 907 5
7455 1473 3
6133 1188 4
9809 5707 8
8439 9018 4
8337 1036 1
6755 9556 6
3175 1884 10
1430 3698 4
2372 6375 1
2003 2015 8
9693 3887 2
9334 7637 3
7377 3238 1
5638 9480 1
2741 4348 2
8056 8255 7
5143 2335 6
7978 4712 2
568 4055 7
1312 6695 6
9132 2220 2
8751 4503 7
6279 7875 9
9030 1286 7
3100 6268 10
4566 4052 2
2117 5144 10
9162 473 2
3284 5241 2
5592 8493 10
7746 9563 9
6755 9324 6
7408 9882 5
7139 6618 7
7379 4612 6
2921 2674 10
2729 4592 7
7355 2727 5
5460 9813 4
5315 7268 7
5510 2665 3
4492 3022 3
5355 4854 3
9006 7368 4
1470 4082 2
4879 8552 4
8160 1572 9
4930 1013 7
5639 7446 1
5197 3703 5
816 7979 9
9003 7576 9
432 5731 1
4068 7273 1
2504 8123 9
852 8151 2
6650 7827 1
2768 6125 10
5864 1136 9
7114 515 9
493 3073 8
6516 4406 4
5960 134 7
453 9736 5
7887 3489 9
4830 2313 4
3706 2549 10
410 1204 9
4384 9811 8
5357 3156 2
3726 6497 8
6348 8600 8
6623 7894 10
1216 42 4
8392 3075 6
